Series ID,PercOfTotLiab,Balance Sheet Item Name,AssetOrLiab
3-Jan-24,102369,Notes on issue,Liability
10-Jan-24,102331,Notes on issue,Liability
17-Jan-24,102159,Notes on issue,Liability
24-Jan-24,102002,Notes on issue,Liability
31-Jan-24,101882,Notes on issue,Liability
7-Feb-24,101746,Notes on issue,Liability
14-Feb-24,101557,Notes on issue,Liability
21-Feb-24,101331,Notes on issue,Liability
28-Feb-24,101192,Notes on issue,Liability
6-Mar-24,100997,Notes on issue,Liability
13-Mar-24,100960,Notes on issue,Liability
20-Mar-24,100981,Notes on issue,Liability
27-Mar-24,101341,Notes on issue,Liability
3-Apr-24,101501,Notes on issue,Liability
10-Apr-24,101606,Notes on issue,Liability
17-Apr-24,101658,Notes on issue,Liability
24-Apr-24,101671,Notes on issue,Liability
1-May-24,101634,Notes on issue,Liability
8-May-24,101634,Notes on issue,Liability
15-May-24,101466,Notes on issue,Liability
22-May-24,101320,Notes on issue,Liability
29-May-24,101209,Notes on issue,Liability
5-Jun-24,101154,Notes on issue,Liability
12-Jun-24,101008,Notes on issue,Liability
19-Jun-24,100901,Notes on issue,Liability
26-Jun-24,100772,Notes on issue,Liability
3-Jul-24,100829,Notes on issue,Liability
10-Jul-24,100707,Notes on issue,Liability
17-Jul-24,100676,Notes on issue,Liability
24-Jul-24,100672,Notes on issue,Liability
31-Jul-24,100672,Notes on issue,Liability
7-Aug-24,100640,Notes on issue,Liability
14-Aug-24,100628,Notes on issue,Liability
21-Aug-24,100619,Notes on issue,Liability
28-Aug-24,100526,Notes on issue,Liability
4-Sep-24,100557,Notes on issue,Liability
11-Sep-24,100490,Notes on issue,Liability
18-Sep-24,100462,Notes on issue,Liability
25-Sep-24,100641,Notes on issue,Liability
2-Oct-24,100803,Notes on issue,Liability
9-Oct-24,100944,Notes on issue,Liability
16-Oct-24,101017,Notes on issue,Liability
23-Oct-24,101067,Notes on issue,Liability
30-Oct-24,101254,Notes on issue,Liability
6-Nov-24,101314,Notes on issue,Liability
13-Nov-24,101522,Notes on issue,Liability
20-Nov-24,101837,Notes on issue,Liability
27-Nov-24,102141,Notes on issue,Liability
4-Dec-24,102355,Notes on issue,Liability
11-Dec-24,102817,Notes on issue,Liability
18-Dec-24,103287,Notes on issue,Liability
25-Dec-24,103699,Notes on issue,Liability
3-Jan-24,348364,Exchange settlement balances,Liability
10-Jan-24,365990,Exchange settlement balances,Liability
17-Jan-24,365289,Exchange settlement balances,Liability
24-Jan-24,358520,Exchange settlement balances,Liability
31-Jan-24,356620,Exchange settlement balances,Liability
7-Feb-24,362787,Exchange settlement balances,Liability
14-Feb-24,364725,Exchange settlement balances,Liability
21-Feb-24,352293,Exchange settlement balances,Liability
28-Feb-24,338091,Exchange settlement balances,Liability
6-Mar-24,334174,Exchange settlement balances,Liability
13-Mar-24,338748,Exchange settlement balances,Liability
20-Mar-24,332759,Exchange settlement balances,Liability
27-Mar-24,330298,Exchange settlement balances,Liability
3-Apr-24,327819,Exchange settlement balances,Liability
10-Apr-24,330347,Exchange settlement balances,Liability
17-Apr-24,334370,Exchange settlement balances,Liability
24-Apr-24,336119,Exchange settlement balances,Liability
1-May-24,335211,Exchange settlement balances,Liability
8-May-24,334755,Exchange settlement balances,Liability
15-May-24,332138,Exchange settlement balances,Liability
22-May-24,315200,Exchange settlement balances,Liability
29-May-24,297228,Exchange settlement balances,Liability
5-Jun-24,275605,Exchange settlement balances,Liability
12-Jun-24,275673,Exchange settlement balances,Liability
19-Jun-24,256688,Exchange settlement balances,Liability
26-Jun-24,220838,Exchange settlement balances,Liability
3-Jul-24,227829,Exchange settlement balances,Liability
10-Jul-24,238078,Exchange settlement balances,Liability
17-Jul-24,245219,Exchange settlement balances,Liability
24-Jul-24,237930,Exchange settlement balances,Liability
31-Jul-24,234322,Exchange settlement balances,Liability
7-Aug-24,244526,Exchange settlement balances,Liability
14-Aug-24,249654,Exchange settlement balances,Liability
21-Aug-24,235261,Exchange settlement balances,Liability
28-Aug-24,226021,Exchange settlement balances,Liability
4-Sep-24,220739,Exchange settlement balances,Liability
11-Sep-24,224698,Exchange settlement balances,Liability
18-Sep-24,231594,Exchange settlement balances,Liability
25-Sep-24,226909,Exchange settlement balances,Liability
2-Oct-24,235145,Exchange settlement balances,Liability
